Fecha,Institución,Pacientes,Positivos,En_estudio
29/06/2020,HCG,93,41,52
29/06/2020,ISSSTE,29,15,14
29/06/2020,IMSS,473,174,299
29/06/2020,Privados,63,42,21
30/06/2020,SSJ,119,42,77
30/06/2020,HCG,93,53,40
30/06/2020,ISSSTE,29,18,11
30/06/2020,IMSS,463,172,291
30/06/2020,Privados,68,43,27
01/07/2020,SSJ,115,50,65
01/07/2020,HCG,91,56,35
01/07/2020,ISSSTE,31,17,14
01/07/2020,IMSS,485,171,314
01/07/2020,Privados,66,40,26
02/07/2020,SSJ,113,58,55
02/07/2020,HCG,89,58,31
02/07/2020,ISSSTE,29,19,10
02/07/2020,IMSS,455,161,294
02/07/2020,Privados,65,40,25
03/07/2020,SSJ,115,61,54
03/07/2020,HCG,95,55,40
03/07/2020,ISSSTE,30,19,11
03/07/2020,IMSS,496,192,304
03/07/2020,Privados,64,40,25
04/07/2020,SSJ,114,60,54
04/07/2020,HCG,95,55,40
04/07/2020,ISSSTE,29,15,14
04/07/2020,IMSS,495,229,266
04/07/2020,Privados,44,30,14
05/07/2020,SSJ,117,59,58
05/07/2020,HCG,96,55,41
05/07/2020,ISSSTE,31,17,14
05/07/2020,IMSS,489,195,294
05/07/2020,Privados,44,30,14
06/07/2020,SSJ,109,57,52
06/07/2020,HCG,87,48,39
06/07/2020,ISSSTE,27,17,10
06/07/2020,IMSS,501,217,284
06/07/2020,Privados,61,28,33
07/07/2020,SSJ,105,50,55
07/07/2020,HCG,95,49,46
07/07/2020,ISSSTE,32,16,16
07/07/2020,IMSS,486,221,265
07/07/2020,Privados,47,20,27
08/07/2020,SSJ,102,48,54
08/07/2020,HCG,96,50,46
08/07/2020,ISSSTE,29,14,15
08/07/2020,IMSS,499,209,290
08/07/2020,Privados,58,29,29
09/07/2020,SSJ,108,46,62
09/07/2020,HCG,94,64,30
09/07/2020,ISSSTE,29,11,18
09/07/2020,IMSS,513,229,284
09/07/2020,Privados,66,39,27
10/07/2020,SSJ,107,52,55
10/07/2020,HCG,99,60,39
10/07/2020,ISSSTE,28,15,13
10/07/2020,IMSS,523,268,255
10/07/2020,Privados,71,38,33
11/07/2020,SSJ,105,50,55
11/07/2020,HCG,97,62,35
11/07/2020,ISSSTE,23,13,10
11/07/2020,IMSS,525,212,313
11/07/2020,Privados,36,23,13
12/07/2020,SSJ,112,49,63
12/07/2020,HCG,102,60,42
12/07/2020,ISSSTE,22,13,9
12/07/2020,IMSS,549,260,289
12/07/2020,Privados,54,31,14
13/07/2020,SSJ,104,44,60
13/07/2020,HCG,105,60,45
13/07/2020,ISSSTE,20,11,9
13/07/2020,IMSS,540,228,312
13/07/2020,Privados,65,45,20
Datos sujetos a actualización.,,,,
